id,date,nft_id,rarity
839264564838,2024-07-15 11:19:01,EQAVQGjri_WHkKwvfrZTdZmHHFdTNVdjI9Q_WHDEPHT_7Aaf,Uncommon
265328961388,2024-07-15 11:19:07,EQDvGmftedgrgCS4mdIGhRPb9LeeRVO4nrQS3t1c6GjAo4DV,Common
429262933145,2024-07-15 11:19:20,EQAWBPCTxYnoReJdo2paz2iB0rFInTD8ZYGvbzKebFxgd6uC,Common
848324492243,2024-07-15 11:19:38,EQDnHC8WZyFwNA5_zR0gbjLOmG3sUpbMKB01-Vnfd74YEz_c,Uncommon
712450655048,2024-07-15 11:19:51,EQCC1p4NMaWTcyHiaAjo08_Z_JxtthpQhWCysv89R-ydRAX_,Common
130652668256,2024-07-15 11:20:04,EQB_AAtzoFijTQqsR4IBmPEq8qbvZFLtcPAPm81ogd-u0p-4,Common
740762567558,2024-07-15 11:20:11,EQBN_xBp8os-i6U4cerHkm7ySIFDB3TxS-BIF8PxtDj7-5qG,Common
759334852711,2024-07-15 11:20:36,EQC_aTKXNaE_vBydGL8rutTUBXgwTt19NiAMYZcmQ8bKGAS5,Uncommon
387215083105,2024-07-15 11:21:26,EQAbOtnf47fGJWgPqR1h_39tF20e1FhlKYNPqqdgUIAkBPlO,Common
699357426397,2024-07-15 11:21:51,EQAu_Ukqoqq_Nrp1ijvq6e_Yn9mtPNsHvKXeOYdJkz_KLp_7,Common
182638543119,2024-07-15 11:21:51,EQA-BkLDMrDLuzxVJmd3L19TOHu1StgZ8dTzkU91l97Ed3x4,Common
682874806707,2024-07-15 11:22:22,EQA7KgY2YIB4_ncSGQXbGjSvHk1znrPVRxtGAiXH21I0hUiv,Common
436885746030,2024-07-15 11:22:28,EQDKMr5M9KEej47BSLzmHfZmvmGHVvjSiqf9ib--1i8L6AG6,Rare
240758077582,2024-07-15 11:22:59,EQDfdqZ7XQ4hQhJxhonYRAXJtr2p5Mclt_LLqs5t0t6gRuFV,Common
303581878421,2024-07-15 11:23:38,EQBYEaNK-FqvlknD4H-FZvAtz1RcT8VlVU8n-WW7xpBZHxKY,Uncommon
882776727437,2024-07-15 11:24:08,EQCi1FKWb2Uz3aQHPmUuiYz-552DlYnYnZ0xFP-iAZU0pcV8,Uncommon
848781492643,2024-07-15 11:24:08,EQB7-zU04bJx0xtdnAycqFhER5VpE98-oFFJQCGqQxTa-jgf,Common
614176929690,2024-07-15 11:24:46,EQDENhTS1mnwmBU4QzJ2KHkLjrF_Tj0hihaSFe_hWcewMvpa,Uncommon
514068016929,2024-07-15 11:24:46,EQAoaWaxkyy_6wYN9LUEEsWAVZCJFFhXhAajItnuFGnSsMQV,Uncommon
352628463550,2024-07-15 11:24:47,EQDpoHjsdkTD1im6VsR4ApD5Hx-j8R8v5esMEijQfvTzvOoU,Common
137094968477,2024-07-15 11:25:11,EQAgky_aEx_7j4JE1rNa_mJfTubryMkMf1sZY-kDEVXVAGVW,Common
995969423811,2024-07-15 11:25:17,EQCzxVYz8VJkkiyrHrBkxdMIvMKu1-ih1RlHSr8xQ662nLeu,Common
176413652536,2024-07-15 11:25:42,EQBFQ8CyDf0D9JHOuIh_CctPmQzKJICY4cRJAfoBYyWPnB2f,Rare
366758095034,2024-07-15 11:25:42,EQDQutweXChYleAjgzw-RyCHAn-aeobvlbb5eC4n3989Crea,Common
866551229933,2024-07-15 11:25:55,EQDHf7lDwSH04dxMdXXX28Ns9pQBZQzxMSqdKKNHRROD0S-c,Common
285685468354,2024-07-15 11:26:51,EQA9iSMWwMwC0nld2CLYcjlqIx2fh51tUQS__tk2mjvt2_yc,Common
834984388388,2024-07-15 11:26:51,EQA7xlnHuzHoHxOS-Q1hosQxZbqSQz5PONhR6-lVqevQs2wI,Common
899812322066,2024-07-15 11:27:38,EQD96kgJe2Bgh9WqWA_jM2jPo4F9K1rMukMviazfSU7lDZAk,Common
357875762806,2024-07-15 11:28:04,EQAK0FoSX9wZ9x1sI3-kbgzJ_8ftxOiHNaLIVpaijffIbunp,Common
913228863187,2024-07-15 11:28:04,EQDfdeyOMaSQcORoy-p8M9zk8S5hTmvDaq50JjRrL0sd5fYK,Common
148181377051,2024-07-15 11:29:26,EQCziiH2TDN3bNFge8ZBO9NASpSvrUfhyfbiednotr00c9Lu,Common
446130115315,2024-07-15 11:29:41,EQCanRqHBMNGp_qHywljLvXT_2vv_hB7lFXamBlP-f1T9qAy,Rare
